millis,label,ax,ay,az,gx,gy,gz
5928877,d,0.3011,-0.2020,0.9409,1.6100,-4.6900,-0.2100
5928887,d,0.3045,-0.2035,0.9389,-0.8400,-5.1100,-0.7000
5928897,d,0.3113,-0.2069,0.9409,-2.3800,-4.7600,-0.2800
5928907,d,0.3152,-0.2123,0.9536,-2.2400,-3.9200,0.7000
5928916,d,0.3162,-0.2191,0.9658,-1.0500,-2.8000,1.4000
5928926,d,0.3128,-0.2186,0.9648,1.1900,-2.3100,1.1200
5928936,d,0.3089,-0.2113,0.9614,2.4500,-2.7300,-0.2100
5928945,d,0.3065,-0.2059,0.9609,1.3300,-3.7100,-1.8900
5928955,d,0.3089,-0.2035,0.9628,-0.2100,-4.3400,-3.1500
5928964,d,0.3138,-0.2050,0.9633,-1.7500,-4.7600,-3.5000
5928974,d,0.3152,-0.2035,0.9609,-1.2600,-4.9000,-3.3600
5928984,d,0.3143,-0.1986,0.9579,0.0000,-4.9700,-3.0800
5928994,d,0.3143,-0.1986,0.9633,0.7700,-4.7600,-2.8000
5929002,d,0.3148,-0.2020,0.9711,0.4200,-4.4800,-2.3800
5929012,d,0.3157,-0.2079,0.9726,0.5600,-4.4100,-2.1000
5929022,d,0.3167,-0.2108,0.9706,1.4700,-4.6200,-2.3100
5929032,d,0.3152,-0.2098,0.9687,2.4500,-4.9700,-2.8700
5929041,d,0.3152,-0.2118,0.9653,3.1500,-5.3900,-3.5000
5929051,d,0.3152,-0.2113,0.9599,3.9200,-5.6000,-4.0600
5929061,d,0.3157,-0.2074,0.9560,3.8500,-5.8100,-4.1300
5929070,d,0.3177,-0.2030,0.9540,3.0800,-5.5300,-4.1300
5929080,d,0.3177,-0.1976,0.9511,2.3100,-4.6900,-3.3600
5929089,d,0.3148,-0.1898,0.9448,1.3300,-3.5700,-2.8000
5929099,d,0.3133,-0.1840,0.9389,-0.9100,-3.4300,-2.1000
5929109,d,0.3133,-0.1840,0.9418,-1.1900,-3.2200,-1.0500
5929119,d,0.3143,-0.1879,0.9482,-0.0700,-3.2200,-0.3500
5929127,d,0.3133,-0.1884,0.9482,0.1400,-3.5700,0.0700
5929137,d,0.3128,-0.1864,0.9443,-0.2100,-4.3400,0.2100
5929147,d,0.3157,-0.1825,0.9472,-0.8400,-5.0400,0.3500
5929157,d,0.3167,-0.1913,0.9575,-2.1000,-5.3200,0.4200
5929166,d,0.3196,-0.2045,0.9643,-2.2400,-4.8300,0.8400
5929176,d,0.3216,-0.2035,0.9623,-1.4000,-4.4800,1.1200
