millis,label,ax,ay,az,gx,gy,gz
6072651,z,-0.0903,-0.3377,0.9599,-2.1000,-6.5800,-2.3100
6072661,z,-0.0874,-0.3455,0.9672,-1.0500,-6.0200,-4.4100
6072670,z,-0.0844,-0.3572,0.9760,0.5600,-6.2300,-4.9000
6072680,z,-0.0839,-0.3587,0.9848,2.7300,-6.9300,-4.4800
6072690,z,-0.0834,-0.3528,0.9902,3.9900,-8.5400,-3.9900
6072699,z,-0.0854,-0.3475,0.9877,4.9000,-10.5700,-4.0600
6072708,z,-0.0903,-0.3416,0.9789,6.3000,-12.7400,-4.4100
6072718,z,-0.0883,-0.3338,0.9701,6.7200,-14.4200,-4.6900
6072728,z,-0.0815,-0.3270,0.9633,5.1800,-14.7700,-4.6900
6072738,z,-0.0771,-0.3250,0.9579,2.7300,-13.7900,-4.3400
6072748,z,-0.0737,-0.3314,0.9482,0.7700,-12.1800,-3.7100
6072756,z,-0.0761,-0.3387,0.9443,1.3300,-10.6400,-3.0100
6072766,z,-0.0839,-0.3436,0.9555,1.2600,-8.8900,-2.5900
6072776,z,-0.0830,-0.3440,0.9692,0.4900,-6.8600,-2.2400
6072786,z,-0.0781,-0.3396,0.9784,0.2100,-4.8300,-2.1700
6072795,z,-0.0786,-0.3348,0.9838,0.7700,-3.6400,-3.5000
6072805,z,-0.0795,-0.3318,0.9877,1.8900,-5.3900,-4.1300
6072815,z,-0.0776,-0.3299,0.9897,4.0600,-7.8400,-4.4800
6072824,z,-0.0766,-0.3265,0.9862,4.0600,-10.6400,-4.4800
6072833,z,-0.0756,-0.3226,0.9814,3.2200,-13.0200,-4.1300
6072843,z,-0.0732,-0.3206,0.9780,2.0300,-14.4200,-3.4300
6072853,z,-0.0688,-0.3231,0.9692,2.1000,-14.7000,-2.5900
6072863,z,-0.0669,-0.3235,0.9638,2.8700,-13.8600,-2.2400
6072873,z,-0.0625,-0.3211,0.9594,3.5700,-12.1800,-2.5900
6072881,z,-0.0625,-0.3206,0.9599,4.2700,-10.2200,-3.6400
6072891,z,-0.0581,-0.3152,0.9614,4.2000,-8.1900,-4.9000
6072901,z,-0.0586,-0.3074,0.9614,3.0100,-6.7900,-6.1600
6072911,z,-0.0605,-0.3016,0.9643,0.9800,-6.0900,-7.0000
6072920,z,-0.0566,-0.3011,0.9682,0.0000,-5.7400,-7.2800
6072930,z,-0.0571,-0.2987,0.9760,0.7000,-5.6000,-6.7200
6072940,z,-0.0586,-0.2967,0.9872,0.8400,-5.8800,-5.3900
6072949,z,-0.0542,-0.2967,0.9970,1.5400,-6.1600,-3.3600
6072958,z,-0.0488,-0.2923,1.0043,0.9800,-6.6500,-1.5400
