millis,label,ax,ay,az,gx,gy,gz
5885774,u,0.3528,-0.0351,-0.0224,64.0500,220.0100,69.8600
5885784,u,0.3738,-0.0771,0.2045,54.3900,241.6400,67.7600
5885793,u,0.4099,-0.1176,0.3309,41.5100,265.3000,68.8100
5885802,u,0.4407,-0.1845,0.4480,37.0300,285.9500,70.1400
5885812,u,0.4587,-0.2352,0.5544,32.0600,303.8700,71.4000
5885822,u,0.4616,-0.2713,0.6686,24.2200,319.8300,72.8700
5885832,u,0.4392,-0.3274,0.8150,16.4500,332.7800,74.6900
5885841,u,0.4319,-0.3782,0.9584,7.1400,342.1600,74.6200
5885851,u,0.4177,-0.4026,1.0682,-3.2200,348.5300,72.3100
5885861,u,0.4138,-0.3992,1.1302,-21.6300,348.6000,67.4100
5885870,u,0.3645,-0.3987,1.1258,-32.5500,337.8200,57.3300
5885879,u,0.2494,-0.3880,1.0892,-24.0800,319.5500,41.0900
5885889,u,0.1518,-0.3431,1.0697,-7.5600,295.4700,19.8100
5885899,u,0.0893,-0.2996,1.0887,8.6800,268.1700,-2.1700
5885909,u,0.0644,-0.2557,1.1488,13.5100,241.9200,-18.9000
5885918,u,0.0766,-0.2162,1.2400,0.7700,219.1700,-27.0200
5885927,u,0.1054,-0.2157,1.3249,-16.7300,201.6000,-26.8100
5885937,u,0.1322,-0.2347,1.3562,-29.0500,185.9200,-21.4900
5885947,u,0.1254,-0.2430,1.3357,-29.4700,168.1400,-14.7700
5885957,u,0.0712,-0.2435,1.3034,-15.8900,147.1400,-9.8000
5885966,u,0.0102,-0.2342,1.2834,5.6000,124.6700,-6.8600
5885976,u,-0.0083,-0.2015,1.2717,25.7600,102.4800,-4.4800
5885986,u,0.0024,-0.1586,1.2625,36.9600,82.2500,2.9400
5885995,u,0.0068,-0.1279,1.2459,38.1500,65.3800,2.9400
5886004,u,0.0000,-0.1074,1.2249,30.7300,51.8700,15.6800
5886014,u,-0.0044,-0.0991,1.2029,16.3100,22.8900,22.9600
5886024,u,-0.0024,-0.1064,1.1785,1.1900,22.2600,29.5400
5886034,u,0.0000,-0.1215,1.1614,-18.6900,14.1400,34.5800
5886043,u,0.0039,-0.1371,1.1468,-23.5200,7.0700,37.6600
5886052,u,0.0059,-0.1542,1.1468,-25.3400,1.2600,38.7800
5886062,u,0.0068,-0.1752,1.1375,-22.4700,-2.5200,38.3600
5886072,u,0.0137,-0.2020,1.1419,-17.9900,-4.4100,37.3100
5886082,u,0.0283,-0.2533,1.1405,-12.1800,-5.1100,35.0000
5886091,u,0.0366,-0.2704,1.1283,-5.2500,-5.3900,31.0800
5886101,u,0.0298,-0.2738,1.1122,1.1900,-6.1600,25.6900
5886111,u,0.0298,-0.2684,1.0960,3.8500,-7.3500,19.8100
5886120,u,0.0351,-0.2664,1.0775,3.8500,-8.6100,14.7000
5886129,u,0.0415,-0.2655,1.0614,2.9400,-9.4500,10.7100
5886139,u,0.0444,-0.2635,1.0433,2.1000,-9.6600,8.2600
5886149,u,0.0464,-0.2542,1.0297,2.4500,-9.4500,6.8600
5886159,u,0.0459,-0.2435,1.0209,0.5600,-9.0300,6.3700
5886168,u,0.0434,-0.2377,1.0102,-0.7000,-8.3300,6.3700
5886177,u,0.0390,-0.2308,1.0033,-1.6100,-7.2800,6.4400
5886187,u,0.0366,-0.2298,0.9984,-2.4500,-6.0200,6.4400
5886197,u,0.0371,-0.2298,0.9941,-1.0500,-4.2700,6.3700
5886207,u,0.0346,-0.2269,0.9936,1.1200,-2.3800,6.2300
5886216,u,0.0327,-0.2294,0.9965,2.9400,-0.5600,5.8800
5886226,u,0.0307,-0.2308,1.0004,5.1800,1.1200,5.1100
5886236,u,0.0234,-0.2274,1.0014,6.3000,2.1700,3.7100
5886245,u,0.0156,-0.2225,1.0014,5.9500,2.5900,1.9600
5886254,u,0.0107,-0.2201,1.0048,4.2000,2.3800,0.2100
5886264,u,0.0102,-0.2225,1.0116,2.2400,2.1000,-1.3300
5886274,u,0.0102,-0.2230,1.0189,0.6300,0.7700,-1.6100
