millis,label,ax,ay,az,gx,gy,gz
6828198,0,0.1176,-0.0566,0.9438,21.1400,-1.7500,4.1300
6828208,0,0.1142,-0.0561,0.9345,2.4500,-5.1100,8.5400
6828217,0,0.1191,-0.0712,0.9423,-7.9800,-6.7900,12.2500
6828226,0,0.1200,-0.0874,0.9433,-18.3400,-7.9100,16.3800
6828236,0,0.1152,-0.1200,0.9365,-28.6300,-9.8000,22.4000
6828246,0,0.1186,-0.1484,0.9511,-18.8300,-9.9400,28.1400
6828255,0,0.1259,-0.1357,0.9887,-1.6800,-10.1500,32.1300
6828265,0,0.1298,-0.1240,1.0341,11.2000,-10.0800,34.6500
6828275,0,0.1347,-0.1391,1.0512,21.2100,-9.2400,35.5600
6828285,0,0.1366,-0.1313,1.0512,32.4100,-6.3000,34.3700
6828293,0,0.1322,-0.1044,1.0546,36.6800,-3.1500,31.2200
6828303,0,0.1288,-0.1000,1.0443,32.2000,-0.9100,27.3700
6828313,0,0.1332,-0.1074,1.0248,25.7600,1.0500,23.9400
6828323,0,0.1381,-0.1098,1.0033,17.3600,1.4000,21.5600
6828333,0,0.1337,-0.1069,0.9882,7.1400,-1.3300,20.1600
6828342,0,0.1279,-0.1093,0.9833,-4.2000,-6.3000,17.2900
6828351,0,0.1327,-0.1293,0.9833,-8.7500,-11.4800,17.2900
6828361,0,0.1415,-0.1381,0.9960,-8.8900,-15.0500,15.5400
6828371,0,0.1308,-0.1493,1.0063,-7.2100,-16.5900,15.8200
6828380,0,0.1196,-0.1630,1.0136,0.1400,-14.4900,16.8000
6828390,0,0.1249,-0.1571,1.0287,13.8600,-12.1800,18.1300
6828400,0,0.1342,-0.1444,1.0468,18.0600,-8.2600,19.0400
6828410,0,0.1479,-0.1225,1.0448,18.2700,-4.6900,18.5500
6828418,0,0.1557,-0.0956,1.0307,15.3300,-1.6800,16.5200
6828428,0,0.1547,-0.0766,1.0209,12.1100,-0.0700,12.9500
6828438,0,0.1527,-0.0781,1.0155,6.9300,0.0000,8.8200
6828448,0,0.1464,-0.0932,1.0116,3.5000,-0.2800,4.6200
6828458,0,0.1474,-0.0917,1.0097,0.5600,-0.2800,0.7000
6828467,0,0.1464,-0.0859,1.0024,-3.5000,0.1400,-2.1700
6828476,0,0.1430,-0.0820,0.9887,-6.9300,0.7700,-3.5700
6828486,0,0.1532,-0.1269,0.9560,-4.9000,2.4500,-4.6900
6828496,0,0.1479,-0.1103,0.9745,6.8600,5.0400,-5.2500
6828505,0,0.1318,-0.0454,1.0077,-5.3900,7.0700,-5.2500
6828515,0,0.1357,-0.0400,1.0116,-16.5200,8.9600,-6.1600
6828525,0,0.1357,-0.0551,1.0277,-26.5300,9.2400,-6.6500
6828535,0,0.1166,-0.0922,1.0331,-27.2300,7.4900,-6.6500
6828543,0,0.0927,-0.1113,1.0350,-19.3200,4.4800,-6.7900
6828553,0,0.0874,-0.1049,1.0331,-11.2000,0.2100,-7.4900
6828563,0,0.1005,-0.0917,1.0341,-7.4900,-4.1300,-8.7500
6828573,0,0.1166,-0.0854,1.0331,-6.6500,-6.9300,-10.2900
6828583,0,0.1235,-0.0800,1.0263,-7.2100,-7.9800,-11.8300
6828592,0,0.1161,-0.0737,1.0126,-9.1000,-7.6300,-13.4400
6828601,0,0.1039,-0.0839,0.9965,-10.9900,-6.5100,-14.5600
6828611,0,0.1015,-0.0971,0.9989,-9.7300,-4.3400,-14.4200
6828621,0,0.1103,-0.0898,1.0141,-10.1500,-1.4000,-11.0600
6828630,0,0.1244,-0.0791,1.0160,-13.0900,1.8200,-9.1700
6828640,0,0.1410,-0.0795,1.0106,-18.4800,6.8600,-7.6300
6828650,0,0.1498,-0.0903,1.0121,-24.2200,9.3100,-7.0700
6828660,0,0.1435,-0.1127,1.0082,-23.3100,11.6200,-7.8400
6828668,0,0.1279,-0.1259,1.0082,-22.8200,13.4400,-9.8700
6828678,0,0.1161,-0.1830,0.9823,-3.4300,17.1500,-12.1100
6828688,0,0.1215,-0.0190,0.9799,-12.3900,18.6200,-14.2100
6828698,0,0.1225,-0.1464,0.9780,-14.4900,19.5300,-16.4500
6828708,0,0.1118,-0.1274,0.9955,-16.2400,20.1600,-17.7800
6828717,0,0.1200,-0.1571,1.0204,-22.1200,20.0900,-18.2700
6828726,0,0.1083,-0.1786,1.0365,-7.9800,21.1400,-18.6900
6828736,0,0.0942,-0.1557,1.0472,2.6600,21.2800,-19.4600
6828746,0,0.0756,-0.1503,1.0536,14.6300,21.1400,-19.9500
6828755,0,0.0654,-0.1259,1.0453,20.5800,19.8100,-19.3200
6828765,0,0.0708,-0.1161,1.0268,20.2300,17.2900,-17.0800
6828775,0,0.0732,-0.1205,1.0106,18.4100,14.0000,-13.2300
6828785,0,0.0722,-0.1244,0.9980,12.8100,10.7800,-8.3300
6828793,0,0.0786,-0.1352,0.9838,7.2100,7.9800,-3.5700
6828803,0,0.0903,-0.1381,0.9823,0.0700,5.6000,-0.1400
6828813,0,0.0898,-0.1200,0.9926,-8.5400,3.6400,0.2800
6828823,0,0.0786,-0.1005,1.0053,-14.9100,1.6800,0.1400
6828833,0,0.0717,-0.0947,1.0175,-17.3600,-0.3500,-0.2100
6828842,0,0.0742,-0.0986,1.0277,-17.7100,-2.4500,-0.2100
6828851,0,0.0795,-0.1205,1.0287,-15.6100,-4.4100,0.2800
6828861,0,0.0878,-0.1366,1.0365,-9.3100,-5.5300,0.9100
6828871,0,0.0927,-0.1405,1.0424,-4.9000,-6.1600,1.4000
6828880,0,0.0854,-0.1362,1.0419,0.0700,-6.4400,1.3300
6828890,0,0.0683,-0.1191,1.0424,3.5000,-6.5800,1.6800
6828900,0,0.0561,-0.0927,1.0512,5.7400,-7.7700,2.9400
6828910,0,0.0908,-0.1118,1.0228,-15.4700,-10.9900,5.7400
6828918,0,0.1205,-0.1591,0.9780,-15.4700,-14.7700,8.6100
6828928,0,0.1020,-0.1669,0.9960,-28.0000,-16.5200,9.0300
6828938,0,0.0922,-0.1508,1.0433,-20.7200,-16.8000,7.7000
6828948,0,0.0961,-0.1610,1.0160,-18.3400,-17.9200,7.1400
6828958,0,0.0991,-0.1747,1.0180,-17.5700,-18.2700,6.3700
6828967,0,0.1137,-0.1810,1.0414,-11.4800,-15.5400,4.2700
6828976,0,0.1137,-0.1630,1.0472,-4.8300,-11.2700,1.4000
6828986,0,0.0981,-0.1342,1.0219,1.1900,-7.7000,-2.0300
6828996,0,0.0888,-0.1298,0.9999,3.7100,-6.0900,-4.7600
6829005,0,0.0971,-0.1518,1.0165,1.3300,-5.6000,-5.8800
6829015,0,0.1127,-0.1884,1.0419,-10.0800,-5.5300,-5.5300
6829025,0,0.1166,-0.1874,1.0350,-11.7600,-4.7600,-4.9000
6829035,0,0.1132,-0.1693,1.0028,-19.3200,-6.4400,-5.0400
6829043,0,0.1118,-0.1762,0.9760,-27.2300,-10.4300,-6.3700
6829053,0,0.1103,-0.1762,0.9760,-30.5900,-15.3300,-8.6800
6829063,0,0.1074,-0.1723,0.9994,-30.3800,-19.8100,-11.9000
6829073,0,0.1015,-0.1703,1.0219,-25.1300,-22.8900,-15.1200
6829083,0,0.1098,-0.1659,1.0346,-20.5100,-24.9200,-17.6400
6829092,0,0.1254,-0.1810,1.0258,-21.2100,-26.8800,-18.9000
6829101,0,0.1293,-0.1932,1.0111,-15.0500,-28.3500,-19.3900
6829111,0,0.1342,-0.1806,1.0028,-10.9200,-29.6100,-19.5300
6829121,0,0.1391,-0.1786,1.0009,-9.0300,-30.6600,-19.8100
6829130,0,0.1269,-0.1923,0.9984,-4.1300,-31.4300,-19.8800
6829140,0,0.1127,-0.1776,0.9853,0.7000,-32.5500,-18.1300
6829150,0,0.1113,-0.1430,0.9814,-4.8300,-32.6200,-16.1700
6829160,0,0.1249,-0.1518,0.9902,-51.1700,-29.8900,-9.8700
6829168,0,0.1425,-0.2240,1.0209,-38.7100,-22.8200,1.4000
6829178,0,0.1654,-0.2528,1.0424,-46.8300,-13.5800,13.7200
6829188,0,0.1801,-0.2289,1.0272,-42.2100,-6.3700,26.5300
6829198,0,0.1786,-0.2416,0.9770,-28.2800,-1.1900,36.9600
6829208,0,0.1889,-0.2738,0.9814,-11.8300,2.8700,42.8400
6829217,0,0.2050,-0.3070,0.9740,1.5400,6.1600,42.8400
6829226,0,0.2050,-0.3201,0.9604,15.9600,8.8200,38.1500
6829236,0,0.1840,-0.2977,0.9467,22.6100,9.9400,30.5200
6829246,0,0.1288,-0.2250,0.9194,22.4700,9.7300,18.9700
