millis,label,ax,ay,az,gx,gy,gz
4168785,c,0.0322,0.0488,0.5173,-19.8100,-46.1300,-22.1900
4168794,c,0.0498,0.0639,0.4978,-17.8500,-38.8500,-20.9300
4168804,c,0.0708,0.0747,0.4792,-16.1700,-31.6400,-19.8800
4168814,c,0.0917,0.0917,0.4646,-13.7200,-23.5900,-20.5800
4168824,c,0.1039,0.1093,0.4568,-7.9100,-14.8400,-23.0300
4168833,c,0.1020,0.1244,0.4699,-0.2800,-5.7400,-25.6200
4168842,c,0.1044,0.1293,0.5046,4.7600,2.5900,-27.2300
4168852,c,0.1108,0.1347,0.5558,4.2000,8.9600,-27.3000
4168862,c,0.1108,0.1498,0.6163,-0.5600,13.3700,-26.3200
4168872,c,0.1161,0.1664,0.6822,-2.9400,16.0300,-25.2000
4168881,c,0.1186,0.1869,0.7432,-1.1900,16.6600,-24.1500
4168890,c,0.1157,0.2118,0.7954,-0.7700,14.9100,-23.0300
4168900,c,0.1108,0.2372,0.8350,-0.6300,11.8300,-21.2100
4168910,c,0.1078,0.2420,0.8696,1.0500,8.7500,-19.1800
4168919,c,0.1132,0.2391,0.8999,4.8300,6.7900,-17.0100
4168929,c,0.1088,0.2474,0.9174,7.2800,5.9500,-14.3500
4168939,c,0.1059,0.2479,0.9360,6.9300,6.0200,-7.8400
4168949,c,0.1127,0.2464,0.9506,2.2400,8.5400,-4.6200
4168958,c,0.1196,0.2479,0.9560,-3.6400,8.5400,-1.7500
4168967,c,0.1279,0.2430,0.9589,-7.8400,12.6700,0.7000
4168977,c,0.1303,0.2318,0.9677,-9.4500,13.5100,2.3800
4168987,c,0.1181,0.2206,0.9726,-3.2200,13.2300,2.9400
4168997,c,0.1020,0.2084,0.9692,2.6600,11.6900,2.7300
4169006,c,0.0991,0.1937,0.9736,9.3100,9.5900,0.4900
4169015,c,0.1064,0.1913,0.9877,13.7200,8.5400,-3.1500
4169025,c,0.1196,0.0791,0.9960,17.7100,8.7500,-7.7700
4169035,c,0.1205,0.1630,1.0087,27.3700,8.2600,-19.3900
4169044,c,0.1474,0.3270,1.0716,6.8600,11.9000,-21.2100
4169054,c,0.1352,0.2713,1.0887,-6.7900,16.5900,-22.7500
4169064,c,0.1171,0.2054,1.0331,-7.5600,18.0600,-23.8700
4169074,c,0.1137,0.2494,1.0438,-1.8200,17.2200,-21.6300
4169083,c,0.1122,0.2772,1.0799,-3.3600,15.8900,-17.5000
4169092,c,0.1147,0.2440,1.0907,-3.0800,13.9300,-15.1200
4169102,c,0.1181,0.2425,1.1014,1.7500,11.4800,-12.8100
4169112,c,0.1122,0.2562,1.1058,7.2100,8.1900,-10.5000
4169122,c,0.1030,0.2728,1.1053,8.1200,3.9200,-8.6100
4169131,c,0.1044,0.2747,1.0941,6.0900,0.0000,-6.5800
4169140,c,0.1054,0.2616,1.0751,5.3900,-2.9400,-3.7800
4169150,c,0.1035,0.2508,1.0619,4.4100,-3.7100,-0.9100
4169160,c,0.1088,0.2372,1.0555,1.6100,-2.3100,1.4700
4169169,c,0.1132,0.2216,1.0443,-2.3800,0.3500,3.1500
4169179,c,0.1059,0.2128,1.0219,-4.9000,2.5900,3.7800
4169189,c,0.0947,0.2084,1.0072,-3.3600,3.5000,3.6400
4169199,c,0.0937,0.2059,1.0053,-1.7500,3.6400,2.1700
4169208,c,0.0937,0.1981,1.0043,-1.9600,3.7100,2.1700
4169217,c,0.0834,0.1859,1.0072,-0.7700,3.8500,2.0300
4169227,c,0.0781,0.1781,1.0219,1.4700,4.9000,2.0300
4169237,c,0.0800,0.1732,1.0390,2.4500,5.3200,1.6800
4169247,c,0.0776,0.1698,1.0468,-3.0800,5.0400,0.9100
4169256,c,0.0810,0.1669,1.0321,-6.3000,4.2000,-0.4200
4169265,c,0.0849,0.1659,1.0321,-7.0000,2.6600,-2.5200
4169275,c,0.0791,0.1669,0.9799,-3.5700,0.9100,-5.0400
4169285,c,0.0761,0.1776,0.9667,4.2000,-0.2800,-7.3500
4169294,c,0.0800,0.1893,0.9736,10.3600,-0.4200,-8.4000
4169304,c,0.0781,0.1996,0.9843,7.9100,0.2800,-7.5600
4169314,c,0.0839,0.2040,0.9867,0.9100,1.5400,-5.3900
4169324,c,0.0854,0.2133,0.9843,-4.0600,3.0800,-3.2900
4169333,c,0.0854,0.2235,0.9765,-7.6300,4.3400,-2.3100
4169342,c,0.0800,0.2152,0.9609,-9.1000,4.4800,-1.7500
4169352,c,0.0747,0.2015,0.9550,-5.8100,3.5000,-0.8400
4169362,c,0.0712,0.1928,0.9628,-2.8700,2.3100,0.2800
4169372,c,0.0756,0.1830,0.9765,-1.1900,2.1700,1.4000
4169381,c,0.0776,0.1835,0.9887,-0.7000,3.2900,2.1000
4169390,c,0.0742,0.1923,0.9950,-0.9100,5.2500,1.7500
4169400,c,0.0815,0.1986,1.0048,-0.5600,7.2800,0.9100
4169410,c,0.0800,0.2035,1.0072,-0.9800,8.4700,0.5600
4169419,c,0.0708,0.2059,1.0019,-1.5400,7.9100,0.5600
4169429,c,0.0669,0.2035,1.0024,-1.3300,6.2300,1.2600
4169439,c,0.0669,0.1991,1.0063,-2.5900,4.4100,2.3100
4169449,c,0.0659,0.1942,1.0053,-4.4100,3.4300,3.5000
4169458,c,0.0659,0.1898,1.0092,-2.8700,3.5700,4.0600
4169467,c,0.0732,0.1884,1.0272,-0.2800,4.8300,3.7800
4169477,c,0.0795,0.1889,1.0453,0.8400,6.3700,2.0300
4169487,c,0.0766,0.1981,1.0512,-0.9800,7.2800,-0.0700
4169497,c,0.0820,0.2113,1.0492,-2.2400,7.1400,-2.8700
4169506,c,0.0956,0.2274,1.0497,-3.2900,7.0700,-5.1100
4169515,c,0.0991,0.2484,1.0448,-5.3200,6.0900,-5.4600
4169525,c,0.0922,0.2664,1.0248,-6.2300,4.3400,-3.9200
4169535,c,0.0776,0.2840,0.9984,-4.7600,2.8000,-0.7000
4169544,c,0.0688,0.2874,1.0038,0.0000,2.0300,3.9900
