millis,label,ax,ay,az,gx,gy,gz
3441381,z,0.2972,-0.0098,0.9638,-0.1400,-2.8000,2.1700
3441391,z,0.2991,-0.0166,0.9638,-0.4900,-2.1700,2.5900
3441401,z,0.2987,-0.0239,0.9667,-2.3100,-1.1200,2.6600
3441410,z,0.2967,-0.0303,0.9658,-3.5700,0.1400,2.3100
3441419,z,0.2948,-0.0307,0.9706,-2.9400,1.2600,1.4000
3441429,z,0.2913,-0.0278,0.9789,-1.8200,1.9600,0.2100
3441439,z,0.2874,-0.0254,0.9848,-0.2800,1.8900,-1.0500
3441449,z,0.2874,-0.0210,0.9906,0.4200,-17.0800,-1.1200
3441458,z,0.2899,-0.0190,0.9916,0.2100,-1.7500,-0.9800
3441468,z,0.2943,-0.0185,0.9887,-0.7700,-2.3100,-0.8400
3441477,z,0.2982,-0.0185,0.9853,-0.7700,-2.1000,-0.4900
3441487,z,0.2991,-0.0220,0.9814,-1.4700,-1.1200,-0.1400
3441497,z,0.3011,-0.0244,0.9819,-0.4900,-0.0700,0.1400
3441506,z,0.3040,-0.0239,0.9862,0.0700,0.4900,0.3500
3441516,z,0.3055,-0.0259,0.9911,-0.0700,0.4900,0.5600
3441526,z,0.3065,-0.0239,0.9950,-0.8400,-0.2800,0.7700
3441535,z,0.3065,-0.0224,0.9984,-2.1700,-0.9800,0.6300
3441544,z,0.2928,-0.0244,0.9980,-2.8000,-1.4700,0.4900
3441554,z,0.2889,-0.0244,0.9980,-1.4700,-1.8200,0.2800
3441564,z,0.2879,-0.0210,1.0004,0.0700,-2.0300,0.2100
3441574,z,0.2884,-0.0220,1.0009,0.1400,-2.3800,0.4900
3441583,z,0.2884,-0.0244,0.9955,-0.7700,-2.9400,0.9800
3441593,z,0.2884,-0.0268,0.9843,-0.8400,-3.5700,1.3300
3441602,z,0.2889,-0.0273,0.9750,0.1400,-4.0600,1.4700
3441612,z,0.2894,-0.0278,0.9711,0.8400,-4.2000,1.3300
3441622,z,0.2908,-0.0317,0.9692,0.5600,-3.7800,1.2600
3441631,z,0.2938,-0.0346,0.9682,-0.7700,-2.8700,1.3300
3441641,z,0.2948,-0.0346,0.9701,-1.6800,-1.5400,1.1200
3441651,z,0.2933,-0.0366,0.9731,-1.8200,-0.0700,0.7700
3441660,z,0.2933,-0.0400,0.9828,-0.8400,1.1200,0.5600
3441669,z,0.2899,-0.0410,0.9941,-0.4900,1.3300,0.5600
3441679,z,0.2865,-0.0390,1.0009,-1.1200,0.7700,0.4900
3441689,z,0.2865,-0.0356,1.0033,-1.1900,-0.4900,0.0000
3441699,z,0.2874,-0.0307,1.0004,-0.4900,-2.1000,-1.5400
3441708,z,0.2923,-0.0244,0.9945,0.0700,-4.9000,-2.0300
3441718,z,0.2987,-0.0181,0.9848,-0.2800,-5.4600,-2.1700
3441727,z,0.3045,-0.0146,0.9726,-0.9100,-5.1800,-1.6800
3441737,z,0.3079,-0.0142,0.9628,-0.8400,-3.9200,-0.8400
3441747,z,0.3079,-0.0142,0.9628,-0.0700,-1.8900,0.2800
3441756,z,0.3074,-0.0093,0.9833,-0.4900,0.1400,1.1900
3441766,z,0.3074,0.0015,0.9955,-1.4000,1.4000,1.6100
3441776,z,0.3074,0.0142,1.0038,-2.4500,1.3300,1.5400
3441785,z,0.3089,0.0293,1.0043,-4.3400,0.1400,0.8400
3441794,z,0.3123,0.0322,0.9931,-4.8300,-2.0300,-0.2100
3441804,z,0.3192,0.0337,0.9858,-2.3100,-4.2000,-0.4900
3441814,z,0.3182,0.0395,0.9897,-0.6300,-5.0400,0.3500
3441824,z,0.3123,0.0361,0.9950,0.0700,-4.5500,2.5900
3441833,z,0.3118,0.0317,1.0038,1.3300,-3.2900,5.5300
3441843,z,0.3118,0.0366,1.0131,1.3300,-1.9600,8.1900
3441852,z,0.3109,0.0381,1.0219,0.9800,-1.2600,9.5200
3441862,z,0.3109,0.0317,1.0307,1.1200,-1.4700,10.1500
3441872,z,0.3118,0.0322,1.0399,1.2600,-2.6600,10.4300
3441881,z,0.3109,0.0332,1.0443,-0.2100,-4.3400,10.2900
3441891,z,0.3079,0.0288,1.0390,-0.4900,-6.4400,9.8000
3441901,z,0.3070,0.0317,1.0365,0.4900,-8.2600,9.4500
3441910,z,0.3089,0.0376,1.0336,1.4000,-9.5200,8.9600
3441919,z,0.3152,0.0386,1.0253,2.8000,-10.1500,8.8900
3441929,z,0.3265,0.0429,1.0199,3.5000,-10.5700,9.6600
3441939,z,0.3396,0.0512,1.0194,2.7300,-10.7100,10.6400
3441949,z,0.3514,0.0527,1.0175,2.0300,-10.5000,11.6900
3441958,z,0.3640,0.0551,1.0194,3.2200,-10.0100,14.0700
3441968,z,0.3806,0.0810,1.0346,4.6200,-9.2400,14.0700
3441977,z,0.3938,0.1181,1.0531,2.7300,-9.2400,14.3500
3441987,z,0.4031,0.1376,1.0638,0.9800,-10.4300,15.9600
3441997,z,0.4114,0.1449,1.0726,1.6100,-12.1100,19.4600
3442006,z,0.4148,0.1449,1.0824,1.3300,-13.9300,24.2200
3442016,z,0.4163,0.1347,1.1068,2.2400,-15.4700,29.8200
3442026,z,0.4148,0.1132,1.1224,4.5500,-16.5900,35.0000
3442035,z,0.4080,0.1132,1.1331,6.3700,-17.8500,39.2700
3442044,z,0.3997,0.0825,1.1429,8.1200,-19.7400,42.6300
3442054,z,0.3797,0.0673,1.1531,8.1900,-22.3300,45.2200
3442064,z,0.3738,0.0512,1.1561,5.5300,-25.2000,47.3200
3442074,z,0.3689,0.0337,1.1448,2.3800,-28.0700,48.7200
3442083,z,0.3616,0.0215,1.1273,0.9800,-30.8000,49.0700
3442092,z,0.3572,0.0132,1.1112,0.8400,-32.9000,48.6500
3442102,z,0.3562,0.0054,1.0975,1.1900,-34.3700,48.0900
3442112,z,0.3562,0.0024,1.0868,1.6100,-35.4900,48.1600
3442122,z,0.3567,0.0034,1.0721,0.9800,-36.4000,49.0000
3442131,z,0.3611,-0.0117,1.0492,0.0700,-37.9400,50.9600
3442141,z,0.3484,-0.0151,1.0321,2.1000,-39.7600,53.8300
3442151,z,0.3455,-0.0181,1.0160,0.6300,-41.4400,56.6300
3442160,z,0.3479,-0.0386,0.9960,0.7700,-42.3500,58.8700
