millis,label,ax,ay,az,gx,gy,gz
670175,d,-0.2489,-0.0327,1.1722,-20.1600,-148.2600,4.4800
670184,d,-0.2255,-0.0361,1.1414,-4.4800,-150.3600,-2.8700
670194,d,-0.1976,-0.0425,1.1175,18.5500,-153.7200,-8.1900
670204,d,-0.1674,-0.0239,1.1204,38.5000,-158.9700,-8.3300
670213,d,-0.1479,0.0107,1.1546,45.0800,-171.7100,-6.7200
670223,d,-0.1357,0.0449,1.1951,40.8100,-177.0300,-4.2000
670233,d,-0.1196,0.0508,1.1961,11.2700,-181.3700,-1.8200
670242,d,-0.0956,0.0342,1.1649,11.2700,-184.0300,-0.4200
670251,d,-0.0659,0.0224,1.1283,-1.4000,-185.4300,-0.3500
670261,d,-0.0366,0.0137,1.0634,0.2100,-186.3400,-0.9100
670271,d,-0.0156,-0.0112,1.0155,6.3700,-187.7400,-2.0300
670281,d,0.0015,-0.0283,0.9736,15.6800,-190.1200,-3.0800
670291,d,0.0556,-0.0161,0.9570,26.8100,-192.5000,-4.4800
670299,d,0.0556,0.0464,0.9731,30.9400,-194.1800,-6.0200
670309,d,0.0971,0.0795,1.0067,18.6200,-193.4100,-7.8400
670319,d,0.1820,0.0747,1.0282,7.0700,-190.6100,-10.1500
670329,d,0.1810,0.0708,1.0014,-0.2800,-187.6000,-11.2700
670338,d,0.1625,0.0361,0.9170,-2.7300,-187.3900,-9.6600
670348,d,0.1840,-0.0073,0.8359,3.2900,-190.1900,-5.8800
670358,d,0.2235,-0.0259,0.8062,15.4700,-192.8500,-2.0300
670367,d,0.2582,-0.0171,0.8233,26.8100,-192.7800,0.9100
670376,d,0.2840,0.0127,0.8291,33.0400,-189.9100,2.3100
670386,d,0.3030,0.0298,0.8076,31.0800,-186.4100,2.3800
670396,d,0.3240,0.0376,0.7823,27.5800,-182.6300,1.6100
670406,d,0.3440,0.0503,0.7408,22.4000,-179.4100,0.4200
670416,d,0.3606,0.0522,0.7008,14.2800,-176.7500,-0.2100
670424,d,0.3821,0.0386,0.6612,6.2300,-173.6000,0.2100
